weight_mech_1,weight_mech_2,weight_mech_3,weight_mech_4
0.32081436952461356,0.5246180788283346,0.08886449124116233,0.06570306040588944
0.36142919519557126,0.5193336615511474,0.05394580295355265,0.06529134029972872
0.05769129565913291,0.7591362823447538,0.0952601455665145,0.08791227642959876
0.18728935811680067,0.6584688392246777,0.06977338516530317,0.08446841749321848
0.17327800353433648,0.6622456850285611,0.08820309016866713,0.07627322126843543
0.14911889371337483,0.7089942490501824,0.047651053327317,0.09423580390912585
0.3046388269040889,0.5553874134301248,0.0809966431164114,0.058977116549375055
0.17892944785955964,0.6844696578463453,0.06880302493462503,0.06779786935947
0.26963481582820625,0.5827206837270357,0.05191443495470515,0.09573006549005295
0.23562948757991506,0.6168116708062027,0.059221299049257735,0.08833754256462462
0.27013748492836004,0.5555442469639938,0.07239233172155558,0.10192593638609057
0.3406659659857405,0.5167284816827828,0.0721058505543954,0.07049970177708108
0.27297750230764595,0.5816803070187018,0.07039325770767775,0.07494893296597452
0.1626285211315701,0.6968120089494179,0.06476314729816289,0.07579632262084929
0.12560460429181666,0.6988601647706787,0.072256902544606,0.1032783283928986
0.24302715709277553,0.6453461437286755,0.06339301107450042,0.048233688104048565
0.25883175173109046,0.61112354043626,0.056406503753928805,0.07363820407872078
0.4737840463790534,0.3718664016326638,0.06673238252127298,0.08761716946700981
0.08023679373915255,0.7592454570277509,0.0850941968717977,0.07542355236129884
0.2683300913726753,0.5651892755796376,0.08735695206193339,0.07912368098575376
0.2173825762207911,0.6202974058780143,0.06694347909900619,0.09537653880218838
0.1694730313643603,0.6787726497240185,0.0696909551790965,0.08206336373252451
0.1070432340118128,0.7450194788666563,0.06775748918500817,0.08017979793652275
0.1820708745861071,0.6943718952532575,0.06527519915613471,0.058282031004500655
0.2359193737259703,0.633350684336943,0.06780109978694919,0.06292884215013736
0.15343379617128747,0.7256529153438572,0.04963542228126197,0.07127786620359333
0.24772758625873756,0.6308244562158813,0.05683020407631565,0.0646177534490655
0.20591397278935417,0.6404182068008342,0.08403891385510928,0.06962890655470234
0.15198175053939136,0.7010789410948554,0.07079991970889289,0.07613938865686055
0.14485473554044306,0.6959611437537441,0.07726790766294879,0.08191621304286406
0.195346391761994,0.645543955460848,0.07971071236426569,0.07939894041289242
0.2752047574675749,0.5824498508937312,0.07099760521438138,0.0713477864243125
0.26514755523973493,0.5597302438680578,0.07689311937779718,0.09822908151441015
0.15357836347050952,0.7046452431259129,0.07072010656521377,0.0710562868383639
0.06211321707603904,0.7934390424302772,0.07279287945259096,0.07165486104109287
0.020355501859541814,0.8115494153537995,0.05866627025089226,0.10942881253576633
0.3080691028694106,0.5653098161016115,0.04876393250793294,0.07785714852104493
0.23957504067080893,0.6055032746887282,0.07708756893831467,0.07783411570214831
0.12428205101744928,0.7316919498552941,0.07527286557347591,0.0687531335537808
0.3444846361433433,0.5106606689442768,0.07603194716319242,0.0688227477491875
0.12363550901166637,0.7304249348445152,0.07497020003197911,0.07096935611183922
0.277815995906446,0.5799877258299891,0.08296673256777896,0.05922954569578598
0.16724438217500565,0.6976128814441965,0.05923421369775586,0.07590852268304206
0.22870754841483856,0.6454850084769124,0.07334213757314828,0.05246530553510084
